genesID,trID,rbf_mrna,noise_mrna,loglik_ratio_mrna,rbf_premrna,noise_premrna,loglik_ratio_premrna,lengthscale_rbf_mrna,variance_rbf_mrna,variance_noise_mrna,lengthscale_rbf_premrna,variance_rbf_premrna,variance_noise_premrna,p_val_mrna,p_val_premrna
FBgn0000071,FBtr0081619,164.28722698243476,195.98234758031003,31.695120597875274,-10.9218787620364,0.907461530035043,11.829340292071443,51.74754483784338,0.04761052686613584,14905.936667486965,51.74754483784338,0.04761052686613584,0.05388450161214746,1.8037481045291658e-08,0.0005830464789219339
FBgn0000071,FBtr0081620,113.79554954042487,142.32453598097902,28.52898644055415,-10.9218787620364,0.907461530035043,11.829340292071443,51.74754483784338,0.04761052686613584,553.2273955274935,51.74754483784338,0.04761052686613584,0.05388450161214746,9.230618854310732e-08,0.0005830464789219339
FBgn0000117,FBtr0332583,86.73670044087706,108.24893840832783,21.512237967450773,107.15614289592743,135.80554269496145,28.649399799034015,18.67615269746074,355.6347950007065,79.71830594081055,18.67615269746074,355.6347950007065,410.86323636977653,3.5157782277108205e-06,8.67408729084756e-08
FBgn0000163,FBtr0343764,51.626557403323446,79.89690797793963,28.270350574616188,130.26061717333454,155.99012100897528,25.72950383564074,24.888502633226825,1403.8451236360236,12.035775346155448,24.888502633226825,1403.8451236360236,1049.6639809894843,1.0549961267095366e-07,3.927762358751316e-07
FBgn0000180,FBtr0079929,132.0347855988298,159.97711194809406,27.94232634926425,129.9835409786598,164.09453945196736,34.110998473307575,28.437434160118457,2795.601459410665,1573.5595465207234,28.437434160118457,2795.601459410665,1800.7869958407186,1.2498563212781907e-07,5.205620233952888e-09
FBgn0000180,FBtr0329984,132.0347855988298,159.97711194809406,27.94232634926425,129.9835409786598,164.09453945196736,34.110998473307575,28.437434160118457,2795.601459410665,1573.5595465207234,28.437434160118457,2795.601459410665,1800.7869958407186,1.2498563212781907e-07,5.205620233952888e-09
FBgn0000229,FBtr0302378,77.1198671114291,100.00258091804272,22.882713806613623,-22.648827161718835,-9.69920207067463,12.949625091044204,80.14247060784075,0.054502845478181274,46.002448677177696,80.14247060784075,0.054502845478181274,0.023350458527990284,1.7219348378627567e-06,0.0003199855683307235
FBgn0000233,FBtr0071379,72.23077710123023,102.31224271315553,30.081465611925296,-52.14734492544544,-52.147364130672074,-1.920522663567681e-05,56.28557387721781,2.8059592387987084e-09,53.66120744024106,56.28557387721781,2.8059592387987084e-09,2.844514346034906e-05,4.142717397851925e-08,1.0
FBgn0000395,FBtr0071610,96.75010428929836,120.96764910157512,24.217544812276756,109.6282577490123,142.95208263675886,33.323824887746554,21.875291772687,555.7197720828107,183.50323441665904,21.875291772687,555.7197720828107,601.5571694215446,8.604486203971945e-07,7.802090740692929e-09
FBgn0000411,FBtr0333034,152.06438346399221,176.72185267018148,24.657469206189262,-179.66450174049683,-179.66449113898136,1.0601515469943479e-05,150.70696263395905,5.561007742050217e-44,4865.997868756034,150.70696263395905,5.561007742050217e-44,0.0,6.847883249654567e-07,0.997402094975767
FBgn0000411,FBtr0333035,118.58936273312526,132.5078527223558,13.918489989230551,-179.66450174049683,-179.66449113898136,1.0601515469943479e-05,150.70696263395905,5.561007742050217e-44,317.04179742555897,150.70696263395905,5.561007742050217e-44,0.0,0.0001909111612147335,0.997402094975767
FBgn0000439,FBtr0081621,69.12719255663222,99.75290147472451,30.625708918092286,62.58236999561054,96.57627266243446,33.99390266682392,32.57266155478801,32.61483196270871,45.2432246265252,32.57266155478801,32.61483196270871,36.60722754436066,3.129197851164831e-08,5.528504858025149e-09
FBgn0000449,FBtr0073205,121.34396814172115,148.41309277485703,27.069124633135885,-130.62356972468808,-130.62357138083172,-1.6561436382289685e-06,68.06404883085095,1.2168044349884312e-12,784.4642122594294,68.06404883085095,1.2168044349884312e-12,3.6475027929992657e-290,1.9630842626821324e-07,1.0
FBgn0000477,FBtr0083538,80.29199321839306,95.70472988257315,15.412736664180088,-124.37659847105598,-124.37659883878749,-3.6773150213775807e-07,67.81900807617632,3.30402372128392e-13,34.539949182339804,67.81900807617632,3.30402372128392e-13,7.009143330727829e-270,8.640395325769769e-05,1.0
